Title,Company,Experience,Salary,Location,Skills,Link
DOT Net Developer,RVS Infosoft,2-5 Yrs,Not disclosed,Delhi,"xml, design patterns, html, pl sql, wpf, ssis, ajax, javascript",https://www.naukri.com/job-listings-dot-net-developer-rvs-infosoft-pvt-ltd-delhi-2-to-5-years-150216501524
Dot Net Fullstack Developer,CIELHR,2-7 Yrs,Not disclosed,Chennai,"Dot net, C#, .Net Core, MVC, Angular, Development, DoT, .Net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-ciel-hr-chennai-2-to-7-years-150325003989
DOT NET developer,Xturion,3-8 Yrs,Not disclosed,Chennai,"server, development, oracle, information technology, soa, technical, software, microsoft certified",https://www.naukri.com/job-listings-dot-net-developer-xturion-chennai-3-to-8-years-150715504301
Engineering manager,DOUBLE HR CONSULTANCY,12-15 Yrs,Not disclosed,"Mumbai, Mumbai Suburban","Fabrication, Product management, Manufacturing process, Production engineering, Ansys, Scheduling, Machine shop, Engineering Design",https://www.naukri.com/job-listings-engineering-manager-double-hr-consultancy-mumbai-mumbai-suburban-12-to-15-years-150323501060
Dot Net,Diverse Lynx,2-6 Yrs,Not disclosed,Chennai,"MS SQL, VB.NET, Production support, ADO.Net, Programming, .Net, WCF, ASP.Net MVC",https://www.naukri.com/job-listings-dot-net-diverse-lynx-chennai-2-to-6-years-150722502835
Dot Net developer Fresher in noida,Right Step Consulting,1-5 Yrs,Not disclosed,Noida,"MS SQL, Software design, Views, .NET framework, Application programming, Javascript, .Net, Software",https://www.naukri.com/job-listings-dot-net-developer-fresher-in-noida-right-step-consulting-private-limited-noida-1-to-5-years-140717500160
dot net developer- freshers,Right Step Consulting,1-5 Yrs,Not disclosed,Noida,"MS SQL, Bsc, jQuery, Layout, Technical, HTML, JSON, MVC",https://www.naukri.com/job-listings-dot-net-developer-freshers-right-step-consulting-private-limited-noida-1-to-5-years-140717500163
dot net Developer Nagpur,Pinnove,2-7 Yrs,Not disclosed,Nagpur,"assembly language, C, HTML, ASP.Net MVC, SQL, Six Sigma, PMP, JavaScript",https://www.naukri.com/job-listings-dot-net-developer-nagpur-pinnove-nagpur-2-to-7-years-140917501005
Dot Net Developer,NS Global Corporation,3-9 Yrs,Not disclosed,Rajkot,"Computer science, LINQ, PDF, C, Debugging, Agile, Entity framework, .Net",https://www.naukri.com/job-listings-dot-net-developer-ns-global-corporation-rajkot-3-to-9-years-141124502430
Dot NET Developers,Ledx Legal Learning Edutech,2-5 Yrs,Not disclosed,Indore,"Software design, Software development life cycle, Manager Technology, MVC, Unit testing, Monitoring, Remedy",https://www.naukri.com/job-listings-dot-net-developers-ledx-legal-learning-edutech-private-limited-indore-2-to-5-years-140723502014
Dot NET Application Developer,Vyapin Software Systems,1-2 Yrs,Not disclosed,"Chennai, Chennai","c#, code, soa, technical, software, testing, developing, mca",https://www.naukri.com/job-listings-dot-net-application-developer-vyapin-software-systems-private-limited-chennai-chennai-1-to-2-years-140915500541
DOT NET DEVELOPER,The Intect,1-6 Yrs,Not disclosed,Noida,"System architecture, System testing, C++, Software design, Prototype, Coding, Test cases, Unit testing",https://www.naukri.com/job-listings-dot-net-developer-the-intect-noida-1-to-6-years-140922500006
Dot Net,MyfutureJob,3-4 Yrs,Not disclosed,Noida,"Sql Server 2008, LINQ, jQuery, Network administration, Web technologies, Javascript, ASP.Net, .Net",https://www.naukri.com/job-listings-dot-net-myfuturejob-noida-3-to-4-years-141022501494
DOT Net Developer,ADMS ONLINE,2-5 Yrs,Not disclosed,Ahmedabad,"server, soa, software, team player, jquery, layer, stored procedures, sql",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-2-to-5-years-140916501281
Dot NET Core Developers,Injala,,Unpaid,Ahmedabad,,https://www.naukri.com/job-listings-dot-net-core-developers-injala-ahmedabad-2-to-10-years-140324501863
Sr . Dot Net Developer,robosol,3-8 Yrs,Not disclosed,Nagpur,"C++, MS SQL, Debugging, Agile, XHTML, MVC, microsoft, SDLC",https://www.naukri.com/job-listings-sr-dot-net-developer-robosol-systems-private-limited-nagpur-3-to-8-years-140524501719
Dot Net Developer,Minivet System,2-5 Yrs,Not disclosed,Kolkata,"Sql Server 2008, CSS, jQuery, LINQ, html5, Javascript, ASP.Net, MVC",https://www.naukri.com/job-listings-dot-net-developer-minivet-system-kolkata-2-to-5-years-140324500550
Dot Net Developer,Nexithon Global Services Pvt Ltd.,2-5 Yrs,Not disclosed,Udaipur,"MS SQL, IIS, jQuery, Coding, HTTP, WCF, MVC, Ajax",https://www.naukri.com/job-listings-dot-net-developer-nexithon-global-services-pvt-ltd-udaipur-2-to-5-years-140723501522
Dot Net Developer,My Healthcare,3-5 Yrs,Not disclosed,"Dehradun, Gurugram","Solution architecture, jQuery, C, Linux, Architecture, Project management, MySQL, MongoDB",https://www.naukri.com/job-listings-dot-net-developer-my-healthcare-dehradun-gurugram-3-to-5-years-141123500717
Dot Net Developer,Pearlsoft Technology,3-8 Yrs,Not disclosed,"Kochi, Chennai","LINQ, GIT, Coding, Entity framework, .Net, WCF, WPF, SDLC",https://www.naukri.com/job-listings-dot-net-developer-pearlsoft-technology-kochi-chennai-3-to-8-years-141024500465
Dot Net FullStack Developer,The Intect,8-18 Yrs,Not disclosed,Ahmedabad,"jQuery, Version control, GIT, Coding, Javascript, Back office, Entity framework, HTML",https://www.naukri.com/job-listings-dot-net-fullstack-developer-the-intect-ahmedabad-8-to-18-years-140922500605
DOT NET Developer,Diverse Lynx,2-6 Yrs,Not disclosed,Gurugram,"Software design, Architecture, User support, .Net, DoT, Development, Design, Software",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-gurugram-2-to-6-years-140922501746
DOT NET,Mindtrilogy,5-10 Yrs,Not disclosed,"Noida, New Delhi","IIS, Web technologies, Coding, Agile, .Net, HTML, Ajax, DoT",https://www.naukri.com/job-listings-dot-net-mindtrilogy-noida-new-delhi-5-to-10-years-141023500524
Dot Net Architect,The Intect,8-18 Yrs,Not disclosed,Ahmedabad,"Architect, MSI, sitecore, Web technologies, Business analysis, umbraco, CMS, .Net",https://www.naukri.com/job-listings-dot-net-architect-the-intect-ahmedabad-8-to-18-years-140922500604
Dot Net Developer,Angion Systems,4-9 Yrs,Not disclosed,"Kochi, Thrissur, Kozhikode, Thiruvananthapuram","MS SQL, jQuery, Database design, Javascript, PHP, Healthcare, Visual Studio, Stored procedures",https://www.naukri.com/job-listings-dot-net-developer-angion-systems-kochi-thrissur-kozhikode-thiruvananthapuram-4-to-9-years-140920500085
Asst. Executive - Production,Ajanta Pharma,10-12 Yrs,Not disclosed,Dahej,"executive production, quality control, production, process improvement, inventory, manpower handling, quality standards, safety",https://www.naukri.com/job-listings-asst-executive-production-ajanta-pharma-dahej-10-to-12-years-140224501861
Dot Net Developer,Ethics Infotech,1-6 Yrs,Not disclosed,Vadodara,"SQL queries, MS SQL, PDF, OOPS, SSRS, Entity framework, ASP.Net, MVC",https://www.naukri.com/job-listings-dot-net-developer-ethics-infotech-llp-vadodara-1-to-6-years-140125511262
Executive - QMS - Production,Ajanta Pharma,10-12 Yrs,Not disclosed,Dahej,"executive production, quality control, production, documentation, process improvement, production department, engineering, production operations",https://www.naukri.com/job-listings-executive-qms-production-ajanta-pharma-dahej-10-to-12-years-140224501505
DOT Net Developers,Northsoft Corporation,2-5 Yrs,Not disclosed,Ludhiana,"VB.NET, oracle, html5, ASP.Net MVC, Oracle 11G, SQL, CSS3, jQuery",https://www.naukri.com/job-listings-dot-net-developers-northsoft-corporation-ludhiana-2-to-5-years-140217501459
Dot Net Developer,Destiny HR group,2-7 Yrs,Not disclosed,Gurugram,"Computer science, jQuery, SOA, Database design, MIS, Web development, Agile, WCF",https://www.naukri.com/job-listings-dot-net-developer-destiny-hr-group-gurugram-2-to-7-years-140322501248
DOT NET Developer,Turing,3-7 Yrs,Not disclosed,Remote,"Product management, MS SQL, Agile, Scrum, WCF, DBMS, Business intelligence, JIRA",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-3-to-7-years-140125505618
DOT NET Developer,Turing,3-7 Yrs,Not disclosed,Remote,"github, GIT, MVVM, Javascript, HTML, MVC, Visual Studio, WPF",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-3-to-7-years-140125507541
Dot NET Developer,Virtual Engineering Services,2-3 Yrs,Not disclosed,Noida,"server, css, web application, web services, software design, azure devops, sql, razor pages",https://www.naukri.com/job-listings-dot-net-developer-virtual-engineering-services-pvt-ltd-noida-2-to-3-years-140224501255
DOT NET Developer (Products),Turing,3-7 Yrs,Not disclosed,Remote,"Coding, Technical design, Pharma, Javascript, Clinical trials, Programming, Troubleshooting, SQL",https://www.naukri.com/job-listings-dot-net-developer-products-turing-remote-3-to-7-years-140125506134
DOT NET Developer,Turing,3-7 Yrs,Not disclosed,Remote,"GIT, Coding, Risk analytics, Web application, devops, ASP.Net, HTML, MVC",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-3-to-7-years-140125504948
Dot Net developer,Reliant Soft Solutions,3-8 Yrs,Not disclosed,Remote,"MS SQL, Web development, Javascript, Agile, Windows, WCF, MFC, Visual Studio",https://www.naukri.com/job-listings-dot-net-developer-reliant-soft-solutions-remote-3-to-8-years-140223500685
Dot Net Developer - Dot Net Core,GSPAN,3-6 Yrs,Not disclosed,Ahmedabad,"c#, project management, c++, software development, program management, business analysis, javascript, jquery",https://www.naukri.com/job-listings-dot-net-developer-dot-net-core-gspan-automation-technologies-ahmedabad-3-to-6-years-140225501996
DOT NET Developer,Turing,3-7 Yrs,Not disclosed,Remote,"MS SQL, jQuery, Consulting, MVC, Stored procedures, EDI, VB, ASP",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-3-to-7-years-140125509627
Senior Dot . NET developer,Papasiddhi,5-10 Yrs,Not disclosed,Jodhpur,"Computer science, C++, Visual Basic, Front end, Project management, Debugging, Javascript, .Net",https://www.naukri.com/job-listings-senior-dot-net-developer-papasiddhi-jodhpur-5-to-10-years-140322501261
DOT NET Developer,Turing,10-12 Yrs,Not disclosed,Remote,"Software design, NoSQL, Architecture, Operating systems, Postgresql, MySQL, Debugging, Programming",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-10-to-12-years-140125508225
DOT NET Core Full Stack Developer,Turing,7-10 Yrs,Not disclosed,Remote,"Automation, Backend, Front end, Software development life cycle, Programming, Design development, Manager Technology, Software solutions",https://www.naukri.com/job-listings-dot-net-core-full-stack-developer-turing-remote-7-to-10-years-140125505154
DOT NET core programmer,Turing,3-7 Yrs,Not disclosed,Remote,"Front end, Multithreading, Linux, Scalability, Memory management, Finance, Consulting, big data",https://www.naukri.com/job-listings-dot-net-core-programmer-turing-remote-3-to-7-years-140125506813
Dot Net Technical Architect,Osoftec,8-10 Yrs,Not disclosed,Ghaziabad,"SOA, UML, Silverlight, OOAD, Application development, MVC, WPF, microsoft",https://www.naukri.com/job-listings-dot-net-technical-architect-optimization-software-technologies-ghaziabad-8-to-10-years-140224501302
Dot Net-Lead,Iris Solutions,5-7 Yrs,Not disclosed,Noida,"VMware, IIS, jQuery, RDBMS, Workflow, Scrum, Oracle, Information technology",https://www.naukri.com/job-listings-dot-net-lead-iris-solutions-noida-5-to-7-years-140125511129
DOT NET/Kafka Developer,Turing,4-8 Yrs,Not disclosed,Remote,"software architecture, Software design, Network configuration, Backend, Linux, LDAP, Consulting, SSL",https://www.naukri.com/job-listings-dot-net-kafka-developer-turing-remote-4-to-8-years-140125506191
Junior Dot Net Developer,NEXWARE,2-7 Yrs,Not disclosed,Coimbatore,"Web technologies, OOPS, MySQL, Entity framework, .Net, MVC, DoT, Entity",https://www.naukri.com/job-listings-junior-dot-net-developer-nexware-technologies-pvt-ltd-coimbatore-2-to-7-years-130624500395
Production Supervisor,Vinipul Inorganics,1-3 Yrs,Not disclosed,Mumbai,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-vinipul-inorganics-pvt-ltd-mumbai-1-to-3-years-140125502668
Dot NET Developer,Sritech Infopath,1-4 Yrs,Not disclosed,Amod,"NEC, .Net, Development, DoT",https://www.naukri.com/job-listings-dot-net-developer-sritech-infopath-amod-1-to-4-years-131224503984
DOT NET MVC Developer,Variable Soft,1-5 Yrs,Not disclosed,Jaipur,"Interpersonal skills, Programming, MVC, Research, Interpersonal, Interpersonal Skill, Program, .Net",https://www.naukri.com/job-listings-dot-net-mvc-developer-variable-soft-jaipur-1-to-5-years-130922502384
Dot Net Developer (Windows Applications),Vizgro Tech,1-2 Yrs,Not disclosed,Ahmedabad,"server, development, mobile, WPF, windows, Business Executive, sql, Sql Server 2008",https://www.naukri.com/job-listings-dot-net-developer-windows-applications-vizgro-tech-pvt-ltd-ahmedabad-1-to-2-years-130818500224
Dot Net Software Developer,Doxbird Solutions,2-5 Yrs,Not disclosed,Ludhiana,"JAVA, Business Analysts, development, C, Architects, software, HTML, SQL",https://www.naukri.com/job-listings-dot-net-software-developer-doxbird-solutions-ludhiana-2-to-5-years-130917502028
Dot Net Developer,Xeta Interactives,3-8 Yrs,Not disclosed,Lucknow,"Computer science, C, Web technologies, Entity framework, .Net, ASP.Net MVC, SQL, Framework",https://www.naukri.com/job-listings-dot-net-developer-xeta-interactives-lucknow-3-to-8-years-131224503198
Dot net Developer,ADMS Online,3-6 Yrs,Not disclosed,Ahmedabad,"Relationship management, server, SOA, software, Quality systems, Access, Service, Stored procedures",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-3-to-6-years-130717501006
Dot net Programmers/ Team Leader,Base77,2-6 Yrs,Not disclosed,Delhi,"c#, development, clients, documents, asp net using c, testing, software programming, asp net",https://www.naukri.com/job-listings-dot-net-programmers-team-leader-base77-delhi-2-to-6-years-131016500527
Dot NET/ASP.NET DEVELOPER,Adroit Infosystem,2-4 Yrs,Not disclosed,Noida,"SOA, Javascript, Data structures, ASP.Net, WCF, MVC, Data, DoT",https://www.naukri.com/job-listings-dot-net-asp-net-developer-adroit-infosystem-noida-2-to-4-years-131219500738
dot NET Project Managers/Project Leads,Accusol Technologies,4-8 Yrs,Not disclosed,"Ahmedabad, Ahmedabad","b tech, enterprise application, development, net vb net, design development, asp net 2 0, developing, mca",https://www.naukri.com/job-listings-dot-net-project-managers-project-leads-accusol-technologies-pvt-ltd-ahmedabad-ahmedabad-4-to-8-years-131015500047
Sr. Dot Net Developer,SRG HOUSING FINANCE (SRGHFL),3-8 Yrs,Not disclosed,Udaipur,"GIT, devops, ASP.Net, Performance optimization, .Net, Housing finance, Deployment, MVC",https://www.naukri.com/job-listings-sr-dot-net-developer-srg-housing-finance-udaipur-3-to-8-years-130923501831
Dot Net Developer,v6jobsmart,4-9 Yrs,Not disclosed,New Delhi,"Computer science, HTML;Javascript, MS SQL, Quality standards, VB SCRIPT, Coding, Agile development, MySQL",https://www.naukri.com/job-listings-dot-net-developer-v6jobsmart-new-delhi-4-to-9-years-130723501183
Senior Dot Net Developer,J-technologies,2-7 Yrs,Not disclosed,"Chennai, Coimbatore","assembly language, C, technical, software, HTML, mca, ajax, SQL",https://www.naukri.com/job-listings-senior-dot-net-developer-j-technologies-india-ltd-chennai-coimbatore-2-to-7-years-131117502691
ASP Dot Net,Diverse Lynx,2-6 Yrs,Not disclosed,Chennai,"C, Agile, ASP.Net, MVC, microsoft, SQL, ASP, DoT",https://www.naukri.com/job-listings-asp-dot-net-diverse-lynx-chennai-2-to-6-years-130722501909
DOT NET Developer,Turing,7-10 Yrs,Not disclosed,Remote,"Head Business Development, spark, Market intelligence, Manager Technology, Management, Software solutions, Software, Intelligence",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-7-to-10-years-140125504572
DOT NET Developer,Turing,4-8 Yrs,Not disclosed,Remote,"sitecore, Software development life cycle, Healthcare, JSON, Visual Studio, SDK, Cosmos, Technical support",https://www.naukri.com/job-listings-dot-net-developer-turing-remote-4-to-8-years-140125504911
Dot Net Developer,Unlimited Innovations,5-10 Yrs,Not disclosed,Chennai,"Coding, SSRS, WCF, Asset management, WPF, SSIS, microsoft, ASP.Net MVC",https://www.naukri.com/job-listings-dot-net-developer-unlimited-innovations-india-pvt-ltd-chennai-5-to-10-years-130923501815
Dot Net Architect,Venture7 Technology,12-14 Yrs,Not disclosed,Faridabad,"jQuery, Architecture, SOA, Design review, XML, OOAD, WCF, microsoft",https://www.naukri.com/job-listings-dot-net-architect-venture7-technology-private-limited-faridabad-12-to-14-years-131023500480
Dot NET,Diverse Lynx,2-6 Yrs,Not disclosed,Gurugram,"IIS, GIT, SOA, Agile, Entity framework, ASP.Net, microsoft azure, Windows",https://www.naukri.com/job-listings-dot-net-diverse-lynx-gurugram-2-to-6-years-130722502146
Junior Dot Net Developer,Softweb,1-6 Yrs,Not disclosed,Kolkata,"ERP, VB.NET, C, ASP.Net, .Net, DoT, VB, Development",https://www.naukri.com/job-listings-junior-dot-net-developer-softweb-technologies-kolkata-1-to-6-years-121224502444
Shift Incharge - Production,Varroc,4-6 Yrs,Not disclosed,"Sriperumbudur, Chennai","production, kaizen, production processes, manufacturing, cipet, plant production, quality control, rejection control",https://www.naukri.com/job-listings-shift-incharge-production-varroc-engineering-limited-sriperumbudur-chennai-4-to-6-years-130325909958
Engineer ME - Plant,Varroc,4-8 Yrs,Not disclosed,Halol,"production, plant engineering, manufacturing engineering, electricals, manufacturing, production line, mechanical engineering, capex",https://www.naukri.com/job-listings-engineer-me-plant-varroc-engineering-limited-halol-4-to-8-years-130325910202
Dot Net Developer,Cognic Systems,1-3 Yrs,Not disclosed,Jabalpur,"Computer science, Software design, Visual Basic, Agile, MVC, Troubleshooting, Technical support, SDLC",https://www.naukri.com/job-listings-dot-net-developer-cognic-systems-pvt-ltd-jabalpur-1-to-3-years-130324502182
Dot Net Developer,Roadmap It Solutions,2-6 Yrs,Not disclosed,Puducherry,"JScript, MS SQL, jQuery, Linux, html5, Agile, HR, Windows",https://www.naukri.com/job-listings-dot-net-developer-roadmap-it-solutions-p-ltd-puducherry-2-to-6-years-130223501097
Dot NET Developer,Metaorangedigital,1-3 Yrs,Not disclosed,Noida,"jQuery, Coding, ADO.Net, ASP.Net, .Net, MVC, Test cases, ASP.Net MVC",https://www.naukri.com/job-listings-dot-net-developer-metaorange-digital-noida-1-to-3-years-130324501621
Dot Net developer,Tech Tammina,2-5 Yrs,Not disclosed,Chennai,"jQuery, LINQ, Web technologies, Debugging, Javascript, Manager Technology, ASP.Net MVC, SQL",https://www.naukri.com/job-listings-dot-net-developer-techtammina-llc-chennai-2-to-5-years-130523500518
Dot Net Developer,Avant Garde Software,2-4 Yrs,3.5-6 Lacs PA,Remote,"C#, Git, .Net Framework, Windows application forms, Desktop Application, Application, Winforms, Desktop",https://www.naukri.com/job-listings-dot-net-developer-avant-garde-software-kolkata-2-to-4-years-130325015304
Dot NET Developer,Destiny Solutions,2-4 Yrs,Not disclosed,Ahmedabad,"PDF, ASP.Net MVC, SQL, DoT, .Net, ASP.Net, Development, MVC",https://www.naukri.com/job-listings-dot-net-developer-destiny-solutions-pvt-ltd-ahmedabad-2-to-4-years-121224502604
Production and Maintenance Engineer,Praveedh Decor,4-5 Yrs,3-4.25 Lacs PA,"Valsad(Sarigam), Daman & Diu, Umbergaon","Production Management, Production Engineering, Production, Maintenance engineering, Production And Maintenance, Management, Engineering, Maintenance",https://www.naukri.com/job-listings-production-and-maintenance-engineer-praveedh-decor-valsad-daman-diu-umbergaon-4-to-5-years-130225021193
Dot NET Developer - Desktop,Destiny Solutions,1-3 Yrs,Not disclosed,Ahmedabad,"PDF, VB.NET, C, SQL, VB, Desktop, .Net, DoT",https://www.naukri.com/job-listings-dot-net-developer-desktop-destiny-solutions-pvt-ltd-ahmedabad-1-to-3-years-121224502609
Dot Net Developer,Speridian Technologies,3-5 Yrs,Not disclosed,"Kochi, Thiruvananthapuram","Order management, Supply chain, Payroll, Customer service, Sales process, Analytics, Financial services, CRM",https://www.naukri.com/job-listings-dot-net-developer-speridian-technologies-pvt-ltd-kochi-thiruvananthapuram-3-to-5-years-130524500871
Sr. Dot Net Developer,Efficacious Solutions,2-5 Yrs,Not disclosed,Delhi,"server, code, Entity framework, mca, microsoft, sql, database, design",https://www.naukri.com/job-listings-sr-dot-net-developer-efficacious-solutions-delhi-2-to-5-years-130619500428
Dot Net Developer,A & N Softech,2-4 Yrs,Not disclosed,"Kanpur, Lucknow","C#, Computer science, Web services, Application development framework, Windows Services, Toad, Application development, microsoft",https://www.naukri.com/job-listings-dot-net-developer-a-n-softech-pvt-ltd-kanpur-lucknow-2-to-4-years-130123501357
Dot Net Developer,Samruva Technaologies,2-5 Yrs,Not disclosed,Coimbatore,"MS SQL, jQuery, Web technologies, SOA, ADO.Net, Javascript, Programming, JSON",https://www.naukri.com/job-listings-dot-net-developer-samruva-technaologies-coimbatore-2-to-5-years-130623500088
Dot Net Developer,Ahom Technologies,2-5 Yrs,Not disclosed,Gurugram,"jQuery, Coding, Debugging, Web development, CMS, HTML, Application development, Stored procedures",https://www.naukri.com/job-listings-dot-net-developer-ahom-technologies-private-limited-gurugram-2-to-5-years-121224507121
DOT NET Developer,Etelligens,2-3 Yrs,Not disclosed,Noida,"OOAD, Agile development, Debugging, Application development, Stored procedures, Unit testing, Troubleshooting, JIRA",https://www.naukri.com/job-listings-dot-net-developer-etelligens-technologies-noida-2-to-3-years-130623500168
Dot Net Developer,Stemmons Business,1-3 Yrs,Not disclosed,Vadodara,"Computer science, Business services, jQuery, PDF, Web services, Silverlight, Javascript, HTML",https://www.naukri.com/job-listings-dot-net-developer-stemmons-business-services-pvt-ltd-vadodara-1-to-3-years-130325504465
Dot Net Full Stack Developer,Soho Dragon,3-5 Yrs,Not disclosed,Ahmedabad,"Interpersonal skills, Project management, .Net, Troubleshooting, Information technology, SQL, Interpersonal, Interpersonal Skill",https://www.naukri.com/job-listings-dot-net-full-stack-developer-soho-dragon-ahmedabad-3-to-5-years-130225502089
Dot NET Full Stack Tech Lead,Prakash Software,7-12 Yrs,Not disclosed,Indore,"TPM, Data migration, Team leading, Team management, Technical design, Analytical, Management consulting, Client relationship",https://www.naukri.com/job-listings-dot-net-full-stack-tech-lead-prakash-software-solutions-pvt-ltd-indore-7-to-12-years-121224506467
Dot net Developer,Crayontek,2-5 Yrs,Not disclosed,Nashik,"Visual Basic, Architecture, html5, Agile, ASP.Net, MVC, Troubleshooting, SQL",https://www.naukri.com/job-listings-dot-net-developer-crayontek-nashik-2-to-5-years-120822502579
DOT Net Developer,Cyber Futuristics,1-3 Yrs,Not disclosed,Noida,"Graphics, jQuery, RDBMS, Coding, Web development, Internet marketing, Windows, WCF",https://www.naukri.com/job-listings-dot-net-developer-cyber-futuristics-india-pvt-ltd-noida-1-to-3-years-120819500955
Dot Net Developer,DV Infosoft,1-3 Yrs,Not disclosed,Bhopal,"jQuery, VB SCRIPT, Javascript, Data structures, ASP.Net, Application development, Object oriented programming, Microsoft technologies",https://www.naukri.com/job-listings-dot-net-developer-dv-infosoft-bhopal-1-to-3-years-120719500446
Dot NET Developer,Enhance Business Solutions,2-3 Yrs,Not disclosed,New Delhi,"PDF, VB.NET, C, Analytical, EBS, Infrastructure, SQL, Eb",https://www.naukri.com/job-listings-dot-net-developer-enhance-business-solutions-pvt-ltd-new-delhi-2-to-3-years-120822500199
Dot Net Developer,Ecsoft Solutions,2-5 Yrs,Not disclosed,Chennai,"c#, asp.net ajax, css, asp.net mvc, web services, software design, ajax, sql server",https://www.naukri.com/job-listings-dot-net-developer-ecsoft-solutions-chennai-2-to-5-years-120724501995
Dot Net Developer,C Edge,2-4 Yrs,Not disclosed,Thane,"C, .Net, ASP.Net, PLSQL, MVC, Oracle 11G, DoT, Oracle",https://www.naukri.com/job-listings-dot-net-developer-c-edge-technologies-ltd-thane-2-to-4-years-121224502251
Dot Net Developer:,ADMS Online,2-7 Yrs,Not disclosed,"Ahmedabad, Ahmedabad","server, soa, software, sql server, jquery, service oriented architectures, stored procedures, sql",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-ahmedabad-2-to-7-years-120815501207
Dot net Programmers/ Team Leader,Base77,2-7 Yrs,Not disclosed,New Delhi,"requirements, clients, documents, testing, asp net, team leader, written communication, web technologies",https://www.naukri.com/job-listings-dot-net-programmers-team-leader-base77-new-delhi-2-to-7-years-121015501032
Dot Net Developer,Spirizen Technologies,2-7 Yrs,Not disclosed,Mohali,"Usage, GIT, C, Agile development, OOPS, Web development, Entity framework, ASP.Net",https://www.naukri.com/job-listings-dot-net-developer-spirizen-technologies-mohali-2-to-7-years-120923500876
Dot Net Developer,One World Technologies,2-5 Yrs,Not disclosed,Chandigarh,"jQuery, LINQ, OOPS, Javascript, Entity framework, .Net, JSON, ASP.Net MVC",https://www.naukri.com/job-listings-dot-net-developer-one-world-technologies-pvt-ltd-chandigarh-2-to-5-years-121218502227
Dot Net Developer,Ecsion,2-3 Yrs,Not disclosed,Nagpur,"Drupal, IIS, jQuery, Wordpress, Javascript, PHP, WCF, Ajax",https://www.naukri.com/job-listings-dot-net-developer-ecsion-nagpur-2-to-3-years-121022500703
Dot Net Developer,Lakshya Digital,3-6 Yrs,Not disclosed,Gurugram,"SAN, Javascript, Entity framework, HTML, MVC, Visual Studio, JIRA, Technical support",https://www.naukri.com/job-listings-dot-net-developer-lakshya-digital-pvt-ltd-gurugram-3-to-6-years-121124504738
Dot Net Developer with Azure,Programming.Com,3-6 Yrs,Not disclosed,"Chandigarh, New Delhi","Cloud computing, jQuery, GCP, Javascript, .Net, HTML, Visual Studio, Stored procedures",https://www.naukri.com/job-listings-dot-net-developer-with-azure-programming-com-chandigarh-new-delhi-3-to-6-years-121224501290
Senior Dot Net Developer,Softweb,3-8 Yrs,Not disclosed,Kolkata,"ERP, VB.NET, C, ASP.Net, .Net, VB, Development, DoT",https://www.naukri.com/job-listings-senior-dot-net-developer-softweb-technologies-kolkata-3-to-8-years-121224502286
Dot NET developer,Diverse Lynx,2-7 Yrs,Not disclosed,Gurugram,"Usage, Web technologies, Architecture, Coding, Programming, Testing, DoT, .Net",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-gurugram-2-to-7-years-120722502623
Dot Net Developer,Karya Technologies,4-12 Yrs,Not disclosed,Chennai,"Web services, Entity framework, ASP.Net MVC, SQL, Entity, DoT, Framework, ASP.Net",https://www.naukri.com/job-listings-dot-net-developer-karya-technologies-india-private-limited-chennai-4-to-12-years-121023502258
Hyperion Engineer,Cloudesign,1-3 Yrs,Not disclosed,Gurugram,"hyperion financial management, metadata, python, fccs, oracle, epbcs, production, engineering",https://www.naukri.com/job-listings-hyperion-engineer-cloudesign-gurugram-1-to-3-years-121124501307
Dot Net Core Developer,Planet Ecom Solutions,4-6 Yrs,Not disclosed,New Delhi,"Web technologies, SOA, Architecture, Coding, Debugging, Entity framework, .Net, Troubleshooting",https://www.naukri.com/job-listings-dot-net-core-developer-planet-ecom-solutions-private-limited-new-delhi-4-to-6-years-121223500267
R D Electronic Engineers,Ajinkya Electronic Systems,5-10 Yrs,Not disclosed,Mumbai,"HDL, Sales administration, C++, Embedded systems, Sales, Linux, Electronics, Programming",https://www.naukri.com/job-listings-r-d-electronic-engineers-ajinkya-electronic-systems-mumbai-5-to-10-years-120719500346
Dot Net With CAST / SAST / DAST Professional,Diverse Lynx,6-8 Yrs,Not disclosed,Chennai,"MS SQL, Customer satisfaction, Analytical, Agile development, IT infrastructure, Javascript, Manager Technology, Application development",https://www.naukri.com/job-listings-dot-net-with-cast-sast-dast-professional-diverse-lynx-chennai-6-to-8-years-120822501149
